name,slug,description,price,discountPrice,categoryId,imageUrl,sizes,colors,stock,featured,customizable
Morning Coffee Magic Mug,morning-coffee-magic-mug,Start your day with a touch of magic. This heat-sensitive mug reveals a beautiful sunrise design when filled with hot liquid.,499.0,399.0,3,/assets/products/mug_coffee.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Best Boss Ever Mug,best-boss-ever-mug,The classic office favorite. High-quality ceramic mug with bold 'Best Boss Ever' typography. A perfect gift for your mentor.,450.0,349.0,3,/assets/products/mug_boss.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
Cute Cat Lover Mug,cute-cat-lover-mug,For the feline enthusiasts. Features a whimsical cat illustration and a 'Purr-fect Morning' message.,450.0,349.0,3,/assets/products/mug_cat.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Gaming Over Mug,gaming-over-mug,The ultimate mug for gamers. Features a retro 'Game Over' pixel art design and a controller-shaped handle.,550.0,449.0,3,/assets/products/mug_gameover.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Inspirational Dream Mug,inspirational-dream-mug,Chase your dreams with every sip. Elegant gold foil lettering on a matte black ceramic base.,550.0,449.0,3,/assets/products/mug_dream.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
Classic Streetwear Snapback,classic-streetwear-snapback,"A staple for any streetwear collection. Premium 6-panel snapback with a clean, minimalist design.",850.0,699.0,4,/assets/products/cap_street.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Retro 90s Dad Hat,retro-90s-dad-hat,"Bring back the 90s vibe with this washed cotton dad hat. Comfortable, stylish, and perfectly vintage.",750.0,599.0,4,/assets/products/cap_retro.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Performance Sports Cap,performance-sports-cap,Designed for athletes. Moisture-wicking fabric and a breathable mesh back to keep you cool during intense workouts.,950.0,799.0,4,/assets/products/cap_sports.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
Urban Graffiti Trucker Hat,urban-graffiti-trucker-hat,"Make a statement with our 'Urban Graffiti' trucker hat. Features a vibrant, hand-drawn graffiti design on the front panel.",850.0,699.0,4,/assets/products/cap_logo.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Minimalist Initial Cap,minimalist-initial-cap,"Personalize your look. Features a single, elegantly embroidered initial of your choice on a premium cotton base.",850.0,699.0,4,/assets/products/cap_initial.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
Abstract Splash Art Tee,abstract-splash-art-tee,Express your creativity with this vibrant abstract splash art T-shirt. A unique piece for the modern artist.,750.0,649.0,1,/assets/products/tshirt_abstract.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Cyberpunk Dhaka City Tee,cyberpunk-dhaka-city-tee,Dhaka meets the future. A stunning cyberpunk-inspired illustration of the city skyline on a premium black T-shirt.,799.0,699.0,1,/assets/products/tshirt_retro.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Retro Gaming Controller Tee,retro-gaming-controller-tee,For the old-school gamers. Features a classic 8-bit controller design for a nostalgic trip back to the 90s.,699.0,599.0,1,/assets/products/tshirt_gaming.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
Minimalist Nature Leaf Tee,minimalist-nature-leaf-tee,"Simple, clean, and elegant. A single leaf line drawing on a premium organic cotton base.",699.0,599.0,1,/assets/products/tshirt_floral.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
Cute Panda Hug Tee,cute-panda-hug-tee,"Spread the love with this adorable panda hug illustration. Soft, comfortable, and guaranteed to make you smile.",750.0,649.0,1,/assets/products/tshirt_space.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Galactic Nebula Fleece Hoodie,galactic-nebula-fleece-hoodie,Wrap yourself in the stars. A high-resolution nebula print on a premium heavy fleece hoodie.,1799.0,1599.0,2,/assets/products/hoodie_explore.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Vintage Varsity Letter Hoodie,vintage-varsity-letter-hoodie,"Classic campus style. Features a bold varsity letter patch and a comfortable, relaxed fit.",1699.0,1499.0,2,/assets/products/hoodie_essential.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
Minimalist Wave Line Art Hoodie,minimalist-wave-line-art-hoodie,"Inspired by the ocean. A continuous line drawing of a wave for a calm, sophisticated look.",1599.0,1399.0,2,/assets/products/hoodie_abstract.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Retro Synthwave Sun Hoodie,retro-synthwave-sun-hoodie,80s vibes all the way. A vibrant synthwave sun design on a premium charcoal hoodie.,1699.0,1499.0,2,/assets/products/hoodie_retro.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Cozy Oversized Cloud Hoodie,cozy-oversized-cloud-hoodie,"Like wearing a cloud. Super soft, oversized fit for the ultimate lounging experience.",1899.0,1699.0,2,/assets/products/hoodie_love.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
Boss Lady Floral Mug,boss-lady-floral-mug,For the women who lead. Elegant floral design with bold 'Boss Lady' typography.,550.0,449.0,3,/assets/products/mug_plant.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Programmer Code Fuel Mug,programmer-code-fuel-mug,Turn coffee into code. Features a 'Code Fuel' message and a syntax-highlighted code snippet.,499.0,399.0,3,/assets/products/mug_initial.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Minimalist Mountain Peak Mug,minimalist-mountain-peak-mug,For the explorers. A simple mountain peak silhouette on a clean white ceramic base.,450.0,349.0,3,/assets/products/mug_love.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
Retro Pixel Heart Mug,retro-pixel-heart-mug,Show your love in 8-bit. A classic red pixel heart design for a nostalgic touch.,450.0,349.0,3,/assets/products/mug_birthday.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Cute Shiba Inu Mug,cute-shiba-inu-mug,Much wow. Very coffee. An adorable Shiba Inu illustration to brighten your morning.,550.0,449.0,3,/assets/products/mug_abstract.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Vintage Denim Dad Hat,vintage-denim-dad-hat,Effortlessly cool. Premium washed denim for a perfectly worn-in look and feel.,899.0,749.0,4,/assets/products/cap_travel.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Modern Mesh Trucker Cap,modern-mesh-trucker-cap,Stay cool and stylish. Features a breathable mesh back and a sleek front panel design.,799.0,649.0,4,/assets/products/cap_gaming.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
Minimalist Peak Snapback,minimalist-peak-snapback,Clean and sharp. A minimalist snapback with a focus on quality and fit.,850.0,699.0,4,/assets/products/cap_space.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Retro Stripe Baseball Cap,retro-stripe-baseball-cap,Classic athletic style. Features retro stripes and a comfortable cotton construction.,750.0,599.0,4,/assets/products/cap_floral.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
Tactical Outdoor Performance Cap,tactical-outdoor-performance-cap,Built for the elements. Water-resistant fabric and a secure fit for all your adventures.,999.0,849.0,4,/assets/products/cap_hairday.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Artistic Brush Stroke Long Sleeve,artistic-brush-stroke-long-sleeve,"A wearable canvas. Features bold, hand-painted brush strokes for a truly unique look.",999.0,849.0,6,/assets/products/longsleeve_artistic.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Vintage Map Explorer Long Sleeve,vintage-map-explorer-long-sleeve,For the world travelers. Features a beautiful vintage map illustration across the chest.,950.0,799.0,6,/assets/products/longsleeve_nature.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Minimalist Stripe Sleeve Long Sleeve,minimalist-stripe-sleeve-long-sleeve,Clean and modern. Features subtle stripes on the sleeves for a sophisticated touch.,899.0,749.0,6,/assets/products/longsleeve_typographic.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
Retro 80s Grid Long Sleeve,retro-80s-grid-long-sleeve,"Back to the future. A vibrant 80s grid design for a bold, nostalgic statement.",950.0,799.0,6,/assets/products/longsleeve_retro80s.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Cozy Waffle Knit Long Sleeve,cozy-waffle-knit-long-sleeve,The ultimate layering piece. Soft waffle knit fabric for warmth and texture.,1099.0,899.0,6,/assets/products/longsleeve_initial.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
Sleek Matte Black Flask,sleek-matte-black-flask,Sophisticated and stealthy. A premium matte black finish on a double-walled insulated flask.,1350.0,1099.0,7,/assets/products/bottle_retro.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Vibrant Ombre Sport Bottle,vibrant-ombre-sport-bottle,Add a splash of color to your workout. A beautiful ombre finish on a lightweight aluminum bottle.,899.0,749.0,7,/assets/products/bottle_floral.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Minimalist Clear Glass Bottle,minimalist-clear-glass-bottle,Pure and clean. High-quality borosilicate glass with a protective silicone sleeve.,1150.0,899.0,7,/assets/products/bottle_initial.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
Retro 8-Bit Heart Bottle,retro-8-bit-heart-bottle,Level up your hydration. A classic red pixel heart design for the gaming enthusiast.,950.0,799.0,7,/assets/products/bottle_gaming.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Tactical Military Grade Canteen,tactical-military-grade-canteen,Built to survive anything. A heavy-duty canteen with a rugged finish and a secure cap.,1450.0,1199.0,7,/assets/products/bottle_fitness.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
